,CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
123,124,Male,39,69,91
125,126,Female,31,70,77
127,128,Male,40,71,95
129,130,Male,38,71,75
131,132,Male,39,71,75
133,134,Female,31,72,71
135,136,Female,29,73,88
137,138,Male,32,73,73
139,140,Female,35,74,72
141,142,Male,32,75,93
143,144,Female,32,76,87
145,146,Male,28,77,97
147,148,Female,32,77,74
149,150,Male,34,78,90
151,152,Male,39,78,88
153,154,Female,38,78,76
155,156,Female,27,78,89
157,158,Female,30,78,78
159,160,Female,30,78,73
161,162,Female,29,79,83
163,164,Female,31,81,93
165,166,Female,36,85,75
167,168,Female,33,86,95
169,170,Male,32,87,63
171,172,Male,28,87,75
173,174,Male,36,87,92
175,176,Female,30,88,86
177,178,Male,27,88,69
179,180,Male,35,93,90
181,182,Female,32,97,86
183,184,Female,29,98,88
185,186,Male,30,99,97
187,188,Male,28,101,68
189,190,Female,36,103,85
191,192,Female,32,103,69
193,194,Female,38,113,91
195,196,Female,35,120,79
197,198,Male,32,126,74
199,200,Male,30,137,83
