,CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,2,Male,21,15,81
3,4,Female,23,16,77
5,6,Female,22,17,76
7,8,Female,23,18,94
9,10,Female,30,19,72
11,12,Female,35,19,99
13,14,Female,24,20,77
15,16,Male,22,20,79
17,18,Male,20,21,66
19,20,Female,35,23,98
21,22,Male,25,24,73
23,24,Male,31,25,73
25,26,Male,29,28,82
27,28,Male,35,28,61
29,30,Female,23,29,87
31,32,Female,21,30,73
33,34,Male,18,33,92
35,36,Female,21,33,81
37,38,Female,30,34,73
39,40,Female,20,37,75
41,42,Male,24,38,92
45,46,Female,24,39,65
